name,empId,vendorName,ssn,policytype,phone,noOfDependents,username,password,type
Faisal K,121,BlueCross,534678120,health,6574457980,0,faisal,f121,E
Trump J,122,Kaiser,534678121,health,6574457981,0,trump,t122,E
Tim K,123,DDs,534678122,dental,6574457982,0,tim,t123,E
John D,124,Metlife,534678123,life insurance,6574457983,2,john,j124,E
Sam K,125,Metlife,534678124,life insurance,6574457984,3,sam,s125,E
Sim L,126,,534678125,,6574457985,0,sim,s126,E
Adam S,127,DDs,534678126,dental,6574457986,0,adam,a127,E
Michael R,128,BlueCross,534678127,health,6574457987,0,michael,m128,E
Mike I,129,,534678128,,6574457988,0,mike,m129,E
Micky P,130,Kaiser,534678129,health,6574457989,0,micky,m130,M
Rocky P,131,DDs,534678130,dental,6574457990,0,rocky,r131,E
Steve M,132,Kaiser,534678131,health,6574457991,1,steve,s132,E
Filo C,133,DDs,534678132,dental,6574457992,1,filo,f133,E
Richard C,134,,534678133,,6574457993,0,richard,r134,E
Erik D,135,BlueCross,534678134,health,6574457994,0,erik,e135,E
Cody D,136,Kaiser,0000,health,,0,cody,c136,E
Abrahm L,137,Metlife,534678136,life insurance,6574457996,0,abrahm,a137,E
Kim K,138,Metlife,534678137,life insurance,6574457997,0,kim,k138,E
Calvin H,139,Kaiser,534678138,health,6574457998,0,calvin,c139,E
James C,140,BlueCross,534678139,health,6574457999,0,james,j140,E
Milan G,141,Metlife,534678140,life insurance,6574457100,1,milan,m141,A
Anas H,142,Kaiser,534678141,health,6574457101,0,anas,a142,E
Eizat M,143,BlueCross,534678142,health,6574457102,0,eizat,e143,M
Thomas B,144,Kaiser,534678143,health,6574457103,2,thomas,t144,A
