name,empId,vendorName,ssn,policyId,phone,noOfDependents,username,password,type
Faisal K,A121,BlueCross,534678120,E1234560,6574457980,0,faisal,f121,E
Trump J,A122,Kaiser,534678121,E1234561,6574457981,0,trump,t122,E
Tim K,A123,DDs,534678122,E1234562,6574457982,0,tim,t123,E
John D,A124,Metlife,534678123,E1234563,6574457983,2,john,j124,E
Sam K,A125,Metlife,534678124,E1234564,6574457984,3,sam,s125,E
Sim L,A126,Kaiser,534678125,E1234565,6574457985,0,sim,s126,E
Adam S,A127,DDs,534678126,E1234566,6574457986,0,adam,a127,E
Michael R,A128,BlueCross,534678127,E1234567,6574457987,0,michael,m128,E
Mike I,A129,BlueCross,534678128,E1234568,6574457988,0,mike,m129,E
Micky P,A130,Kaiser,534678129,E1234569,6574457989,0,micky,m130,M
Rocky P,A131,DDs,534678130,E1234570,6574457990,0,rocky,r131,E
Steve M,A132,Kaiser,534678131,E1234571,6574457991,1,steve,s132,E
Filo C,A133,DDs,534678132,E1234572,6574457992,1,filo,f133,E
Richard C,A134,BlueCross,534678133,E1234573,6574457993,0,richard,r134,E
Erik D,A135,BlueCross,534678134,E1234574,6574457994,0,erik,e135,E
Cody D,A136,Metlife,534678135,E1234575,6574457995,0,cody,c136,E
Abrahm L,A137,Metlife,534678136,E1234576,6574457996,0,abrahm,a137,E
Kim K,A138,Metlife,534678137,E1234577,6574457997,0,kim,k138,E
Calvin H,A139,Kaiser,534678138,E1234578,6574457998,0,calvin,c139,E
James C,A140,BlueCross,534678139,E1234579,6574457999,0,james,j140,E
Milan G,A141,Metlife,534678140,E1234580,6574457100,1,milan,m141,A
Anas H,A142,Kaiser,534678141,E1234581,6574457101,0,anas,a142,E
Eizat M,A143,BlueCross,534678142,E1234582,6574457102,0,eizat,e143,M
Thomas B,A144,Kaiser,534678143,E1234583,6574457103,2,thomas,t144,A
